Station,Latitude,Longitude
Battersea,51.4670934,-0.1692989
Edmonton,51.45064440000001,0.0595021
Hillingdon,51.5177818268728,-0.11801631868477701
Holloway,51.5585343,-0.11735870000000001
Kentish Town,51.5527447,-0.1417156
Lee Green,51.4564407,0.0126211
Heston,51.559326500000005,-0.0984559
Shoreditch,51.5257035,-0.0840859
Soho,51.5124981,-0.1300662
Dowgate,51.43423603421,0.0127096799935085
Mitcham,51.397375,-0.1728312
North Kensington,51.5218458,-0.2122507
Plumstead,51.6485814806292,-0.0461830673537683
Euston,51.51503928380271,-0.104624702800939
East Ham,51.52431570000001,-0.1758415
Brixton,51.4637439,-0.1095294
Hainault,51.4938536,-0.22417950000000003
West Norwood,51.4371328,-0.1049594
Walthamstow,51.5897224,-0.028772899999999997
Greenwich,51.4736,-0.0138105
Twickenham,51.4875942,-0.1230911
Finchley,51.4425524,-0.045089
Deptford,51.4848917,-0.0339022
Hornsey,51.5690985,-0.1267923
Bexley,51.4607732781317,0.125833905175618
Willesden,51.4213991133111,-0.20397618023542302
Eltham,51.6602334,-0.0520004
Stratford,51.4286284,-0.1320106
Bethnal Green,51.528087,-0.0513605
Beckenham,51.40803,-0.0343827
Barnet,51.647335,-0.1859548
Ilford,51.5622252,0.09009190000000002
East Greenwich,51.4869868,0.0221619
Paddington,51.5201218,-0.1831585
Hayes,51.480169,-0.45893280000000003
Wembley,51.5061342,0.2204164
Stoke Newington,51.5605258,-0.0733028
Richmond,51.4799835,-0.1718503
Woodside,51.4918749,0.0575424
Tottenham,51.4351664,-0.3476248
Hammersmith,51.493854362397805,-0.22422236221709102
Barking,51.651067134539,-0.17610602670634
Enfield,51.4855555,0.1564855
Erith,51.5276956,-0.1306402
Plaistow,51.520965,0.032125
New Cross,51.4023120329616,-0.256049740090306
Harold Hill,51.5907866,-0.3662373
Ruislip,51.4453075,-0.020104
Ealing,51.4866999,0.0168918
Mill Hill,51.4873448,-0.0135964
Heathrow,51.5888987,-0.2286461
Woodford,51.6093719,0.0240144
Surbiton,51.3690191,-0.2111553
Leyton,51.5631269,-0.0167649
Old Kent Road,51.48827130000001,-0.0771858
Dagenham,51.5593805,0.1568313
Purley,51.331771,-0.1250002
Kensington,51.5028921,-0.190126
Peckham,51.4739053,-0.0779915
Southall,51.6305178,-0.1274275
Dockhead,51.5006293,-0.070868
Lambeth,51.4567219601902,0.0109061682065481
Poplar,51.510897,-0.014595400000000001
Feltham,51.5979729,-0.1793457
Bromley,51.4895184,-0.1744453
Romford,51.4956908415541,-0.0526992387760575
Orpington,51.3722323,0.1107549
Wandsworth,51.4565089,-0.2013884
Southgate,51.5020979,-0.098287
Leytonstone,51.5606899,0.0086076
Forest Hill,51.4792489,-0.1079666
Whitechapel,51.5151942,-0.0694656
Croydon,51.5593563,0.1568608
West Hampstead,51.4319848,-0.1030288
Harrow,51.4944475,-0.4317146
Hornchurch,51.586507,-0.1273033
Stanmore,51.5596993,-0.0739003
Fulham,51.4779157,-0.2009506
Northolt,51.5089864,-0.2022344
Sutton,51.4235086224384,-0.0762375121993155
Acton,51.3518137,-0.0240941
Park Royal,51.4738987,-0.0780479
Homerton,51.548538,-0.0439097
Clapham,51.4648746,-0.140976
Islington,51.5401991,-0.1023264
Lewisham,51.4570895,-0.0132894
Hendon,51.4533315,-0.1012517
New Malden,51.3990775,-0.24539080000000002
Chingford,51.490557,-0.2689186
Wennington,51.5516906,-0.19282
Sidcup,51.5025344080193,0.027417780192838
Shadwell,51.510975,-0.0559228
Chelsea,51.4871605,-0.1701805
Chiswick,51.4630738315673,-0.141300800486072
Tooting,51.4377918,-0.1627298
Wallington,51.5897324,-0.028679
Norbury,51.48868432376351,-0.204185405796726
Wimbledon,51.4155279,-0.19759100000000002
Kingston,51.4990329923403,-0.166304842313947
Biggin Hill,51.5172387,-0.0803995
Addington,51.5182072111458,-0.156122780415883
Millwall,51.4873456,-0.0135482
